id,team1,team2,possession% team1,possession% team2,possession% in contest,number of goals team1,number of goals team2,date,hour,category,total attempts team1,total attempts team2,assists team1,assists team2,yellow cards team1,yellow cards team2,red cards team1,red cards team2,fouls against team1,fouls against team2,offsides team1,offsides team2,passes team1,passes team2,passes completed team1,passes completed team2,corners team1,corners team2,free kicks team1,free kicks team2,penalties scored team1,penalties scored team2
1,QATAR,ECUADOR,42.0,50.0,8.0,0.0,2.0,20 Nov 2022,17 : 00,Group A,5.0,6.0,0.0,1.0,4.0,2.0,0.0,0.0,15.0,15.0,3.0,4.0,450.0,480.0,381.0,409.0,1.0,3.0,19.0,17.0,0.0,1.0
2,ENGLAND,IRAN,72.0,19.0,9.0,6.0,2.0,21 Nov 2022,14 : 00,Group B,13.0,8.0,6.0,1.0,0.0,2.0,0.0,0.0,9.0,14.0,2.0,2.0,809.0,224.0,730.0,154.0,8.0,0.0,16.0,10.0,0.0,1.0
3,SENEGAL,NETHERLANDS,44.0,45.0,11.0,0.0,2.0,21 Nov 2022,17 : 00,Group A,14.0,9.0,0.0,1.0,2.0,1.0,0.0,0.0,13.0,13.0,2.0,1.0,383.0,438.0,313.0,374.0,6.0,7.0,14.0,14.0,0.0,0.0
4,UNITED STATES,WALES,51.0,39.0,10.0,1.0,1.0,21 Nov 2022,20 : 00,Group B,6.0,7.0,1.0,0.0,4.0,2.0,0.0,0.0,15.0,10.0,1.0,1.0,569.0,409.0,509.0,321.0,5.0,3.0,11.0,15.0,0.0,1.0
5,ARGENTINA,SAUDI ARABIA,64.0,24.0,12.0,1.0,2.0,22 Nov 2022,11 : 00,Group C,14.0,3.0,0.0,1.0,0.0,6.0,0.0,0.0,7.0,21.0,10.0,1.0,610.0,267.0,529.0,190.0,9.0,2.0,22.0,16.0,1.0,0.0
6,DENMARK,TUNISIA,55.0,33.0,12.0,0.0,0.0,22 Nov 2022,14 : 00,Group D,11.0,11.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,10.0,1.0,1.0,594.0,387.0,523.0,302.0,11.0,9.0,11.0,10.0,0.0,0.0
7,MEXICO,POLAND,54.0,31.0,15.0,0.0,0.0,22 Nov 2022,17 : 00,Group C,13.0,8.0,0.0,0.0,2.0,1.0,0.0,0.0,14.0,16.0,3.0,0.0,485.0,322.0,422.0,241.0,6.0,5.0,16.0,16.0,0.0,0.0
8,FRANCE,AUSTRALIA,56.0,35.0,9.0,4.0,1.0,22 Nov 2022,20 : 00,Group D,22.0,4.0,4.0,1.0,0.0,3.0,0.0,0.0,5.0,11.0,0.0,0.0,734.0,466.0,672.0,399.0,8.0,1.0,11.0,5.0,0.0,0.0
9,MOROCCO,CROATIA,32.0,57.0,12.0,0.0,0.0,23 Nov 2022,11 : 00,Group F,8.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,11.0,0.0,1.0,360.0,667.0,290.0,592.0,0.0,5.0,12.0,17.0,0.0,0.0
10,GERMANY,JAPAN,65.0,22.0,13.0,1.0,2.0,23 Nov 2022,14 : 00,Group E,25.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,14.0,4.0,4.0,820.0,261.0,743.0,207.0,6.0,6.0,17.0,10.0,1.0,0.0
